compound_name,chembl_id,target_id,action_type
NEBIVOLOL HYDROCHLORIDE,CHEMBL1201731,CHEMBL213,ANTAGONIST
NEBIVOLOL HYDROCHLORIDE,CHEMBL1201731,CHEMBL210,ANTAGONIST
CYCLOTHIAZIDE,CHEMBL61593,CHEMBL1876,INHIBITOR
IOXAGLATE SODIUM,CHEMBL1200743,,
CALCIUM METRIZOATE,CHEMBL2068723,,
FLUOROURACIL,CHEMBL185,CHEMBL1952,INHIBITOR
FLUOROURACIL,CHEMBL185,CHEMBL2311221,INHIBITOR
FLUOROURACIL,CHEMBL185,CHEMBL2311222,INHIBITOR
DITHIAZANINE,CHEMBL1185568,,
GABAPENTIN,CHEMBL940,CHEMBL2363032,MODULATOR
DEUTETRABENAZINE,CHEMBL3137326,CHEMBL1893,INHIBITOR
OXYTETRACYCLINE HYDROCHLORIDE,CHEMBL1607480,CHEMBL2363135,INHIBITOR
SOTORASIB,CHEMBL4535757,CHEMBL2189121,INHIBITOR
DORZOLAMIDE,CHEMBL218490,,
LEVAMFETAMINE,CHEMBL19393,,
GARENOXACIN MESYLATE,CHEMBL3183451,CHEMBL2311224,INHIBITOR
GARENOXACIN MESYLATE,CHEMBL3183451,CHEMBL2363076,INHIBITOR
VILAZODONE,CHEMBL439849,,
RIMANTADINE,CHEMBL959,,
XANOMELINE,CHEMBL21536,CHEMBL1821,AGONIST
XANOMELINE,CHEMBL21536,CHEMBL216,AGONIST
CORTISONE ACETATE,CHEMBL1650,CHEMBL2034,AGONIST
ASENAPINE MALEATE,CHEMBL3544974,CHEMBL217,ANTAGONIST
ASENAPINE MALEATE,CHEMBL3544974,CHEMBL224,ANTAGONIST
PALOVAROTENE,CHEMBL2105648,CHEMBL2003,AGONIST
GLECAPREVIR,CHEMBL3545363,CHEMBL2095231,INHIBITOR
MERCAPTOPURINE,CHEMBL1200751,CHEMBL2362992,INHIBITOR
MERCAPTOPURINE,CHEMBL1200751,CHEMBL2311221,INHIBITOR
TERBINAFINE HYDROCHLORIDE,CHEMBL1200832,CHEMBL2364679,INHIBITOR
BENZTROPINE MESYLATE,CHEMBL1200383,CHEMBL216,ANTAGONIST
SERTRALINE,CHEMBL809,,
ANTRAFENINE,CHEMBL345524,CHEMBL3430865,INHIBITOR
TIOTROPIUM BROMIDE,CHEMBL3545181,CHEMBL245,ANTAGONIST
BROXYQUINOLINE,CHEMBL223448,,
METRIZOATE MAGNESIUM,CHEMBL2364738,,
CONIVAPTAN HYDROCHLORIDE,CHEMBL1201108,CHEMBL1790,ANTAGONIST
CONIVAPTAN HYDROCHLORIDE,CHEMBL1201108,CHEMBL1889,ANTAGONIST
TAMOXIFEN,CHEMBL83,,
VILAZODONE HYDROCHLORIDE,CHEMBL1615374,CHEMBL228,INHIBITOR
VILAZODONE HYDROCHLORIDE,CHEMBL1615374,CHEMBL214,PARTIAL AGONIST
TRIMETREXATE GLUCURONATE,CHEMBL2218878,CHEMBL1926,INHIBITOR
TRIMEPRAZINE TARTRATE,CHEMBL3989885,CHEMBL231,ANTAGONIST
TIPIRACIL,CHEMBL235668,,
HYDROXYZINE,CHEMBL896,,
NATEGLINIDE,CHEMBL783,CHEMBL2096972,BLOCKER
ENZALUTAMIDE,CHEMBL1082407,CHEMBL1871,ANTAGONIST
GANAXOLONE,CHEMBL1568698,CHEMBL2093872,POSITIVE ALLOSTERIC MODULATOR
FLUOXETINE HYDROCHLORIDE,CHEMBL1201082,CHEMBL228,INHIBITOR
ERIBULIN,CHEMBL1683590,,
IODOHIPPURATE,CHEMBL1681,,
BECLOMETHASONE DIPROPIONATE,CHEMBL1200500,CHEMBL2034,AGONIST
BUCLIZINE HYDROCHLORIDE,CHEMBL2360580,CHEMBL231,ANTAGONIST
EPINEPHRINE BITARTRATE,CHEMBL1256958,CHEMBL2331074,AGONIST
DICLOFENAC,CHEMBL139,CHEMBL2094253,INHIBITOR
GEFITINIB,CHEMBL939,CHEMBL203,INHIBITOR
IXAZOMIB CITRATE,CHEMBL3545432,CHEMBL2364701,INHIBITOR
IVABRADINE HYDROCHLORIDE,CHEMBL2145077,CHEMBL1250417,BLOCKER
BEPOTASTINE BESYLATE,CHEMBL1201759,CHEMBL231,ANTAGONIST
ANIDULAFUNGIN,CHEMBL264241,CHEMBL2364673,INHIBITOR
ESTRAMUSTINE PHOSPHATE,CHEMBL1756,,
MAPROTILINE HYDROCHLORIDE,CHEMBL1237135,CHEMBL222,INHIBITOR
UPADACITINIB,CHEMBL3622821,,
DAPRODUSTAT,CHEMBL3544988,CHEMBL3831261,INHIBITOR
PENTETIC ACID,CHEMBL780,,
AMIKACIN SULFATE,CHEMBL4208954,CHEMBL2363135,INHIBITOR
LEVOMETHADYL ACETATE HYDROCHLORIDE,CHEMBL1200817,CHEMBL233,AGONIST
MEBANAZINE,CHEMBL1909283,CHEMBL2095205,INHIBITOR
AZATHIOPRINE,CHEMBL1542,CHEMBL2362992,INHIBITOR
AZATHIOPRINE,CHEMBL1542,CHEMBL2311221,INHIBITOR
NAFTAZONE,CHEMBL2106794,,
DAPAGLIFLOZIN PROPANEDIOL,CHEMBL2103802,CHEMBL3884,INHIBITOR
ETOMIDATE,CHEMBL681,CHEMBL2093872,POSITIVE MODULATOR
NABILONE,CHEMBL2218896,CHEMBL218,AGONIST
RUPATADINE,CHEMBL91397,CHEMBL250,ANTAGONIST
RUPATADINE,CHEMBL91397,CHEMBL231,ANTAGONIST
SUCCIMER,CHEMBL1201073,CHEMBL2364029,CHELATING AGENT
PEMETREXED DIPOTASSIUM,CHEMBL6068329,CHEMBL3972,INHIBITOR
PEMETREXED DIPOTASSIUM,CHEMBL6068329,CHEMBL2555,INHIBITOR
PEMETREXED DIPOTASSIUM,CHEMBL6068329,CHEMBL202,INHIBITOR
PROPARACAINE HYDROCHLORIDE,CHEMBL1200464,CHEMBL2331043,BLOCKER
DINOPROST TROMETHAMINE,CHEMBL1200896,CHEMBL1987,AGONIST
BENDROFLUMETHIAZIDE,CHEMBL1684,CHEMBL1876,INHIBITOR
ELAGOLIX SODIUM,CHEMBL502182,CHEMBL1855,ANTAGONIST
SALMETEROL XINAFOATE,CHEMBL1082607,CHEMBL210,AGONIST
ACETRIZOIC ACID,CHEMBL1201327,,
MESORIDAZINE BESYLATE,CHEMBL1201052,CHEMBL217,ANTAGONIST
MESORIDAZINE BESYLATE,CHEMBL1201052,CHEMBL224,ANTAGONIST
NIMODIPINE,CHEMBL1428,CHEMBL1994,ANTAGONIST
NIMODIPINE,CHEMBL1428,CHEMBL2095229,BLOCKER
ORITAVANCIN DIPHOSPHATE,CHEMBL3989766,CHEMBL3041361,INHIBITOR
SAXAGLIPTIN ANHYDROUS,CHEMBL385517,,
DILTIAZEM,CHEMBL23,,
CEFTOLOZANE,CHEMBL2103872,,
MAVORIXAFOR,CHEMBL518924,CHEMBL2107,ANTAGONIST
DIMERCAPROL,CHEMBL1597,CHEMBL2363053,CHELATING AGENT
"SODIUM PHOSPHATE, MONOBASIC",CHEMBL1368,,
GRANISETRON,CHEMBL289469,CHEMBL1899,ANTAGONIST
METHACYCLINE HYDROCHLORIDE,CHEMBL2146123,CHEMBL2363135,INHIBITOR
INDINAVIR SULFATE,CHEMBL1735,CHEMBL243,INHIBITOR
INDINAVIR SULFATE,CHEMBL1735,CHEMBL243,INHIBITOR
CEFIDEROCOL,CHEMBL3989974,CHEMBL2354204,INHIBITOR
REMOXIPRIDE,CHEMBL22242,CHEMBL217,ANTAGONIST
AMILORIDE,CHEMBL945,,
CLOPIDOGREL,CHEMBL1771,,
NINTEDANIB,CHEMBL502835,,
IPODATE,CHEMBL1201243,,
TEPOTINIB,CHEMBL3402762,CHEMBL3717,INHIBITOR
PROPIOMAZINE,CHEMBL1201210,,
VANCOMYCIN HYDROCHLORIDE,CHEMBL1200628,CHEMBL3041361,INHIBITOR
IMIDAPRIL,CHEMBL317094,CHEMBL1808,INHIBITOR
SODIUM PHENYLBUTYRATE,CHEMBL1746,CHEMBL2366039,SEQUESTERING AGENT
DISOPYRAMIDE,CHEMBL517,,
DOXEPIN,CHEMBL1628227,CHEMBL231,ANTAGONIST
BEPRIDIL HYDROCHLORIDE,CHEMBL1200382,CHEMBL2363032,BLOCKER
TRIFLUOPERAZINE,CHEMBL422,,
ALLOPURINOL SODIUM,CHEMBL1200477,CHEMBL1929,INHIBITOR
ELUXADOLINE,CHEMBL2159122,CHEMBL233,AGONIST
PHENPROCOUMON,CHEMBL1465,CHEMBL1930,INHIBITOR
VALBENAZINE TOSYLATE,CHEMBL3707248,CHEMBL1893,INHIBITOR
OMAVELOXOLONE,CHEMBL4303525,CHEMBL1075094,ACTIVATOR
LENVATINIB,CHEMBL1289601,,
PHENOBARBITAL SODIUM,CHEMBL149972,,
SULFAMERAZINE,CHEMBL438,CHEMBL2364668,INHIBITOR
AMMONIUM CHLORIDE,CHEMBL1200939,,
PARICALCITOL,CHEMBL1200622,CHEMBL1977,AGONIST
CHLORPHENIRAMINE,CHEMBL505,,
ZOLMITRIPTAN,CHEMBL1185,CHEMBL1898,AGONIST
ZOLMITRIPTAN,CHEMBL1185,CHEMBL1983,AGONIST
VALACYCLOVIR,CHEMBL1349,,
CLEMASTINE FUMARATE,CHEMBL1200795,CHEMBL231,ANTAGONIST
QUINAGOLIDE,CHEMBL2218861,CHEMBL217,AGONIST
IMIPENEM,CHEMBL43708,CHEMBL2354204,INHIBITOR
NITREFAZOLE,CHEMBL1909285,CHEMBL2096668,INHIBITOR
ESTETROL,CHEMBL6068423,CHEMBL2093866,AGONIST
THEOPHYLLINE SODIUM GLYCINATE,CHEMBL1200578,CHEMBL2093863,INHIBITOR
THEOPHYLLINE SODIUM GLYCINATE,CHEMBL1200578,CHEMBL2094125,INHIBITOR
THEOPHYLLINE SODIUM GLYCINATE,CHEMBL1200578,CHEMBL2111329,ANTAGONIST
TRIPELENNAMINE,CHEMBL1241,,
PERPHENAZINE,CHEMBL567,CHEMBL217,ANTAGONIST
ANILERIDINE,CHEMBL1201347,,
MIGALASTAT,CHEMBL110458,CHEMBL2524,STABILISER
PARECOXIB SODIUM,CHEMBL296913,CHEMBL230,INHIBITOR
TOLOXATONE,CHEMBL18116,CHEMBL1951,INHIBITOR
MIFAMURTIDE,CHEMBL2107354,CHEMBL1293266,OTHER
SPIRAPRIL,CHEMBL431,,
SILDENAFIL,CHEMBL192,,
METHICILLIN SODIUM,CHEMBL3181832,CHEMBL2363021,INHIBITOR
PROTOKYLOL,CHEMBL1201273,,
PIPERAZINE CITRATE,CHEMBL3989678,CHEMBL2364676,POSITIVE MODULATOR
CALCIUM ACETATE,CHEMBL1200800,CHEMBL2364184,SEQUESTERING AGENT
PROCHLORPERAZINE EDISYLATE,CHEMBL1201154,CHEMBL217,ANTAGONIST
CYCLOBENZAPRINE HYDROCHLORIDE,CHEMBL1200636,CHEMBL224,ANTAGONIST
CYCLOBENZAPRINE HYDROCHLORIDE,CHEMBL1200636,CHEMBL225,ANTAGONIST
DEXTROMETHORPHAN HYDROBROMIDE,CHEMBL1256818,CHEMBL287,AGONIST
DEXTROMETHORPHAN HYDROBROMIDE,CHEMBL1256818,CHEMBL1972,ANTAGONIST
MEPENZOLATE BROMIDE,CHEMBL1724,CHEMBL245,ANTAGONIST
MEPENZOLATE BROMIDE,CHEMBL1724,CHEMBL216,ANTAGONIST
METAPROTERENOL SULFATE,CHEMBL1568057,CHEMBL210,AGONIST
ZINC SULFATE,CHEMBL1200929,,
SULOCTIDIL,CHEMBL404849,CHEMBL2363032,BLOCKER
MILNACIPRAN HYDROCHLORIDE,CHEMBL4297064,CHEMBL228,INHIBITOR
MILNACIPRAN HYDROCHLORIDE,CHEMBL4297064,CHEMBL222,INHIBITOR
PRASUGREL HYDROCHLORIDE,CHEMBL1201773,CHEMBL2001,ANTAGONIST
FOSNETUPITANT,CHEMBL3989917,,
TESTOSTERONE PROPIONATE,CHEMBL1170,CHEMBL1871,AGONIST
MECLIZINE HYDROCHLORIDE,CHEMBL3989555,CHEMBL231,ANTAGONIST
RIMEGEPANT,CHEMBL2178422,CHEMBL3798,ANTAGONIST
PANOBINOSTAT,CHEMBL483254,,
MITAPIVAT SULFATE,CHEMBL4297223,CHEMBL1075126,ACTIVATOR
METHADONE,CHEMBL651,,
CHLORPROPAMIDE,CHEMBL498,CHEMBL2096972,BLOCKER
NEFAZODONE,CHEMBL623,,
CIDOFOVIR ANHYDROUS,CHEMBL152,,
POSACONAZOLE,CHEMBL1397,CHEMBL1780,INHIBITOR
ENTACAPONE,CHEMBL953,CHEMBL2023,INHIBITOR
METHOHEXITAL SODIUM,CHEMBL30219,CHEMBL2093872,POSITIVE ALLOSTERIC MODULATOR
METHADONE HYDROCHLORIDE,CHEMBL1200825,CHEMBL233,AGONIST
IODOXAMATE MEGLUMINE,CHEMBL4594231,,
EPHEDRINE,CHEMBL211456,,
BUPRENORPHINE,CHEMBL511142,CHEMBL233,AGONIST
BUPRENORPHINE,CHEMBL511142,CHEMBL237,AGONIST
ISOSULFAN BLUE,CHEMBL1200859,,
BINIMETINIB,CHEMBL3187723,CHEMBL3587,INHIBITOR
BINIMETINIB,CHEMBL3187723,CHEMBL2964,INHIBITOR
ELIGLUSTAT TARTRATE,CHEMBL5723563,CHEMBL2063,INHIBITOR
FINGOLIMOD,CHEMBL314854,,
METHAQUALONE,CHEMBL282052,CHEMBL2093872,POSITIVE ALLOSTERIC MODULATOR
ISOPROPAMIDE IODIDE,CHEMBL1200347,CHEMBL245,ANTAGONIST
ISOPROPAMIDE IODIDE,CHEMBL1200347,CHEMBL216,ANTAGONIST
SUMATRIPTAN SUCCINATE,CHEMBL1201150,CHEMBL1898,AGONIST
SUMATRIPTAN SUCCINATE,CHEMBL1201150,CHEMBL1983,AGONIST
ZIPRASIDONE,CHEMBL708,,
ROFECOXIB,CHEMBL122,CHEMBL230,INHIBITOR
MODAFINIL,CHEMBL1373,CHEMBL238,INHIBITOR
POTASSIUM PERCHLORATE,CHEMBL1200696,,
CEFPODOXIME PROXETIL,CHEMBL1201016,CHEMBL2354204,INHIBITOR
METRONIDAZOLE,CHEMBL137,CHEMBL2364041,INHIBITOR
CARIPRAZINE,CHEMBL2028019,,
OFLOXACIN,CHEMBL4,CHEMBL2311224,INHIBITOR
FOSFOMYCIN TROMETHAMINE,CHEMBL1200331,CHEMBL1984,INHIBITOR
COCAINE HYDROCHLORIDE,CHEMBL529437,CHEMBL2331043,BLOCKER
DEMECLOCYCLINE,CHEMBL1591,,
FEXOFENADINE,CHEMBL914,,
TOLAZOLINE,CHEMBL770,,
EMEDASTINE,CHEMBL594,,
DORZOLAMIDE HYDROCHLORIDE,CHEMBL1201162,CHEMBL205,INHIBITOR
ARBUTAMINE,CHEMBL1201251,,
"CEFPROZIL, (E)-",CHEMBL5314373,CHEMBL2354204,INHIBITOR
TRANYLCYPROMINE,CHEMBL3989843,,
COBIMETINIB FUMARATE,CHEMBL2364607,CHEMBL3587,INHIBITOR
COBIMETINIB FUMARATE,CHEMBL2364607,CHEMBL2964,INHIBITOR
FILGOTINIB MALEATE,CHEMBL4298167,CHEMBL2835,INHIBITOR
FILGOTINIB MALEATE,CHEMBL4298167,CHEMBL2148,INHIBITOR
FILGOTINIB MALEATE,CHEMBL4298167,CHEMBL3553,INHIBITOR
FILGOTINIB MALEATE,CHEMBL4298167,CHEMBL2971,INHIBITOR
KETOROLAC TROMETHAMINE,CHEMBL1201124,CHEMBL2094253,INHIBITOR
HEXAFLUORENIUM BROMIDE,CHEMBL1200933,CHEMBL220,INHIBITOR
DIPHEMANIL METHYLSULFATE,CHEMBL1200880,CHEMBL245,ANTAGONIST
DIPHEMANIL METHYLSULFATE,CHEMBL1200880,CHEMBL216,ANTAGONIST
TAMSULOSIN,CHEMBL836,,
DIROXIMEL FUMARATE,CHEMBL3989944,CHEMBL2069156,INHIBITOR
ROPINIROLE,CHEMBL589,,
HALOPERIDOL LACTATE,CHEMBL4297147,CHEMBL224,ANTAGONIST
HALOPERIDOL LACTATE,CHEMBL4297147,CHEMBL2331075,INVERSE AGONIST
ESOMEPRAZOLE SODIUM,CHEMBL1200470,CHEMBL2095173,INHIBITOR
ISOCARBOXAZID,CHEMBL1201168,CHEMBL2095205,INHIBITOR
RIFAMPIN,CHEMBL374478,CHEMBL2364672,INHIBITOR
GILTERITINIB,CHEMBL3301622,CHEMBL1974,INHIBITOR
GILTERITINIB,CHEMBL3301622,CHEMBL4895,INHIBITOR
CLOBETASOL PROPIONATE,CHEMBL1159650,CHEMBL2034,AGONIST
MIZOLASTINE,CHEMBL94454,CHEMBL231,ANTAGONIST
PYRVINIUM,CHEMBL1201303,,
BICALUTAMIDE,CHEMBL409,CHEMBL1871,ANTAGONIST
DULOXETINE HYDROCHLORIDE,CHEMBL1200328,CHEMBL228,INHIBITOR
DULOXETINE HYDROCHLORIDE,CHEMBL1200328,CHEMBL222,INHIBITOR
MECLOCYCLINE SULFOSALICYLATE,CHEMBL261772,CHEMBL2363135,INHIBITOR
SPARSENTAN,CHEMBL539423,CHEMBL252,ANTAGONIST
SPARSENTAN,CHEMBL539423,CHEMBL227,ANTAGONIST
PHENTOLAMINE MESYLATE,CHEMBL1200873,CHEMBL2095203,ANTAGONIST
AZELASTINE,CHEMBL639,,
PENTAZOCINE,CHEMBL100116,,
PERINDOPRIL,CHEMBL1581,,
ETRASIMOD,CHEMBL3358920,CHEMBL4333,AGONIST
FLUOCINOLONE ACETONIDE,CHEMBL989,CHEMBL2034,AGONIST
PHENOL,CHEMBL14060,,
NILOTINIB,CHEMBL255863,,
NITROFURANTOIN SODIUM,CHEMBL1201000,CHEMBL2364041,INHIBITOR
GALLAMINE TRIETHIODIDE,CHEMBL1200993,CHEMBL2362997,ANTAGONIST
QUINAPRIL,CHEMBL1592,,
TRIDIHEXETHYL,CHEMBL1201354,,
GANCICLOVIR,CHEMBL182,CHEMBL1872,INHIBITOR
IBUTILIDE,CHEMBL533,,
DELAMANID,CHEMBL218650,CHEMBL2111188,INHIBITOR
SULFAPYRIDINE,CHEMBL700,CHEMBL2364668,INHIBITOR
ETHACRYNATE SODIUM,CHEMBL1200487,CHEMBL1874,INHIBITOR
HYDROXYPROGESTERONE CAPROATE,CHEMBL1200848,CHEMBL208,AGONIST
CYCLOFENIL,CHEMBL141305,CHEMBL2093866,MODULATOR
AMBRISENTAN,CHEMBL1111,CHEMBL2096678,ANTAGONIST
ISOPROPAMIDE,CHEMBL1201232,,
OXYMORPHONE,CHEMBL963,,
RUCAPARIB CAMSYLATE,CHEMBL3833368,CHEMBL3390820,INHIBITOR
BENZQUINAMIDE,CHEMBL1201250,,
SAMIDORPHAN,CHEMBL426084,CHEMBL233,ANTAGONIST
PENICILLAMINE,CHEMBL1430,CHEMBL2363057,CHELATING AGENT
NEDOCROMIL,CHEMBL746,,
SULFADIAZINE SODIUM,CHEMBL1200351,CHEMBL2364668,INHIBITOR
METRIZOATE SODIUM,CHEMBL1200423,,
UREA,CHEMBL985,,
ELACESTRANT HYDROCHLORIDE,CHEMBL4594273,CHEMBL206,DEGRADER
DELAFLOXACIN MEGLUMINE,CHEMBL2105638,CHEMBL2311224,INHIBITOR
DELAFLOXACIN MEGLUMINE,CHEMBL2105638,CHEMBL2363076,INHIBITOR
NIZATIDINE,CHEMBL3183075,CHEMBL1941,ANTAGONIST
CHOLINE FENOFIBRATE,CHEMBL1201745,CHEMBL239,AGONIST
DIDANOSINE,CHEMBL1460,CHEMBL247,INHIBITOR
ALCLOFENAC,CHEMBL94081,CHEMBL221,INHIBITOR
SOMAPACITAN,CHEMBL3707290,CHEMBL1976,AGONIST
CLIDINIUM BROMIDE,CHEMBL1200950,CHEMBL245,ANTAGONIST
CLIDINIUM BROMIDE,CHEMBL1200950,CHEMBL216,ANTAGONIST
ZALEPLON,CHEMBL1521,CHEMBL2111392,POSITIVE ALLOSTERIC MODULATOR
CANAGLIFLOZIN ANHYDROUS,CHEMBL2048484,,
FLUPHENAZINE,CHEMBL726,,
AMANTADINE,CHEMBL660,,
CLOBAZAM,CHEMBL70418,CHEMBL2093872,POSITIVE ALLOSTERIC MODULATOR
LYNESTRENOL,CHEMBL2107431,,
RISPERIDONE,CHEMBL85,CHEMBL224,ANTAGONIST
RISPERIDONE,CHEMBL85,CHEMBL225,ANTAGONIST
RISPERIDONE,CHEMBL85,CHEMBL217,ANTAGONIST
MEZLOCILLIN SODIUM,CHEMBL1697708,CHEMBL2354204,INHIBITOR
FENFLURAMINE,CHEMBL87493,,
ACETYLCHOLINE,CHEMBL667,,
DICLOFENAC SODIUM,CHEMBL1034,CHEMBL2094253,INHIBITOR
METHIMAZOLE,CHEMBL1515,CHEMBL1839,INHIBITOR
NANDROLONE PHENPROPIONATE,CHEMBL1200412,CHEMBL1871,AGONIST
SPECTINOMYCIN HYDROCHLORIDE,CHEMBL3989571,CHEMBL2363135,INHIBITOR
ODEVIXIBAT SESQUIHYDRATE,CHEMBL5315120,CHEMBL2778,INHIBITOR
CHLOPHEDIANOL,CHEMBL1201313,,
MECLIZINE,CHEMBL1623,,
ERYTHROMYCIN LACTOBIONATE,CHEMBL1200506,CHEMBL2363135,INHIBITOR
DEXMETHYLPHENIDATE,CHEMBL827,,
PERMETHRIN,CHEMBL1525,CHEMBL2362985,BLOCKER
SIPONIMOD,CHEMBL2336071,CHEMBL4333,AGONIST
AMINOSALICYLATE POTASSIUM,CHEMBL1200584,CHEMBL6065,INHIBITOR
ELTROMBOPAG OLAMINE,CHEMBL3989691,CHEMBL1864,AGONIST
IOXAGLATE MEGLUMINE,CHEMBL1200508,,
AMINOHIPPURIC ACID,CHEMBL463,,
QUININE,CHEMBL170,,
RELUGOLIX,CHEMBL1800159,CHEMBL1855,ANTAGONIST
TRIENTINE,CHEMBL609,,
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,CHEMBL1844,INHIBITOR
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,CHEMBL1936,INHIBITOR
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,CHEMBL258,INHIBITOR
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,CHEMBL2742,INHIBITOR
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,CHEMBL3650,INHIBITOR
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,CHEMBL2095189,INHIBITOR
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,CHEMBL2095227,INHIBITOR
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,CHEMBL2959,INHIBITOR
NICARDIPINE,CHEMBL1484,,
OXYBUTYNIN,CHEMBL1231,CHEMBL245,ANTAGONIST
OXYBUTYNIN,CHEMBL1231,CHEMBL211,ANTAGONIST
FOSDENOPTERIN,CHEMBL2338675,,
TRIMETHOBENZAMIDE,CHEMBL1201256,,
LORCASERIN HYDROCHLORIDE,CHEMBL2095211,CHEMBL225,AGONIST
PITAVASTATIN SODIUM,CHEMBL3989920,CHEMBL402,INHIBITOR
LENACAPAVIR SODIUM,CHEMBL4802249,CHEMBL2366504,INHIBITOR
VEMURAFENIB,CHEMBL1229517,CHEMBL5145,INHIBITOR
RIMEXOLONE,CHEMBL1200617,CHEMBL2034,AGONIST
PROMAZINE,CHEMBL564,,
RUXOLITINIB,CHEMBL1789941,,
PEFICITINIB,CHEMBL3137308,CHEMBL2363062,INHIBITOR
LITHIUM CITRATE,CHEMBL2103738,CHEMBL1786,INHIBITOR
LITHIUM CITRATE,CHEMBL2103738,CHEMBL2095188,INHIBITOR
DIBUNIC ACID,CHEMBL1865134,,
CARPHENAZINE,CHEMBL1201328,,
DIMETHYL FUMARATE,CHEMBL2107333,CHEMBL2069156,INHIBITOR
TENAPANOR HYDROCHLORIDE,CHEMBL3301627,CHEMBL3273,INHIBITOR
METARAMINOL,CHEMBL1201319,,
VERICIGUAT,CHEMBL4066936,CHEMBL2111348,ACTIVATOR
PEMETREXED DISODIUM HEMIPENTAHYDRATE,CHEMBL6068335,,
QUINIDINE GLUCONATE,CHEMBL1200437,CHEMBL2331043,BLOCKER
NALTREXONE HYDROCHLORIDE,CHEMBL1201149,CHEMBL2095181,ANTAGONIST
HYDROXYUREA,CHEMBL467,CHEMBL2095215,INHIBITOR
CLOMETACIN,CHEMBL13376,CHEMBL2094253,INHIBITOR
SUXIBUZONE,CHEMBL1414320,,
AZATHIOPRINE SODIUM,CHEMBL1200400,CHEMBL2362992,INHIBITOR
AZATHIOPRINE SODIUM,CHEMBL1200400,CHEMBL2311221,INHIBITOR
AMANTADINE HYDROCHLORIDE,CHEMBL1569,CHEMBL2094124,ANTAGONIST
AMANTADINE HYDROCHLORIDE,CHEMBL1569,CHEMBL1932894,INHIBITOR
PREDNICARBATE,CHEMBL1200386,CHEMBL2034,AGONIST
METRONIDAZOLE HYDROCHLORIDE,CHEMBL1200869,CHEMBL2364041,INHIBITOR
SITAGLIPTIN FUMARATE,CHEMBL5315049,CHEMBL284,INHIBITOR
PENTETATE ZINC TRISODIUM,CHEMBL1200424,CHEMBL2366037,CHELATING AGENT
LEDIPASVIR,CHEMBL2374220,CHEMBL3307224,INHIBITOR
VALGANCICLOVIR HYDROCHLORIDE,CHEMBL1200454,CHEMBL1872,INHIBITOR
NIRMATRELVIR,CHEMBL4802135,CHEMBL3927,INHIBITOR
BOSUTINIB,CHEMBL288441,CHEMBL1862,INHIBITOR
BOSUTINIB,CHEMBL288441,CHEMBL267,INHIBITOR
BOSUTINIB,CHEMBL288441,CHEMBL3234,INHIBITOR
BOSUTINIB,CHEMBL288441,CHEMBL3905,INHIBITOR
SERDEXMETHYLPHENIDATE,CHEMBL4301162,CHEMBL238,INHIBITOR
SERDEXMETHYLPHENIDATE,CHEMBL4301162,CHEMBL222,INHIBITOR
VORASIDENIB,CHEMBL4279047,CHEMBL4523659,INHIBITOR
FLORBETAPIR,CHEMBL1908919,,
IOFETAMINE,CHEMBL1201308,,
NORTRIPTYLINE,CHEMBL445,,
SODIUM NITRITE,CHEMBL93268,,
NAFTIFINE,CHEMBL626,,
TALC,CHEMBL3989756,,
TINIDAZOLE,CHEMBL1220,CHEMBL2366045,DISRUPTING AGENT
TINIDAZOLE,CHEMBL1220,CHEMBL2364041,DISRUPTING AGENT
ACITRETIN,CHEMBL1131,CHEMBL2363071,AGONIST
RIFAMYCIN SODIUM,CHEMBL2105680,CHEMBL4296169,INHIBITOR
DIHYDROERGOTAMINE,CHEMBL1732,,
MOLINDONE,CHEMBL460,,
SITAGLIPTIN PHOSPHATE,CHEMBL1201174,CHEMBL284,INHIBITOR
IPRAGLIFLOZIN,CHEMBL2018096,CHEMBL3884,INHIBITOR
LEVOCARNITINE,CHEMBL1149,,
PHENOXYBENZAMINE,CHEMBL753,,
DOLUTEGRAVIR SODIUM,CHEMBL1213165,CHEMBL3471,INHIBITOR
DANTROLENE,CHEMBL1201288,,
CHLORNAPHAZINE,CHEMBL2107519,,
TAPENTADOL HYDROCHLORIDE,CHEMBL1201777,CHEMBL233,AGONIST
TAPENTADOL HYDROCHLORIDE,CHEMBL1201777,CHEMBL222,INHIBITOR
ARFORMOTEROL TARTRATE,CHEMBL1951071,CHEMBL210,AGONIST
CARBENICILLIN DISODIUM,CHEMBL606260,CHEMBL2354204,INHIBITOR
AZELASTINE HYDROCHLORIDE,CHEMBL1200809,CHEMBL231,ANTAGONIST
VIGABATRIN,CHEMBL89598,CHEMBL2044,INHIBITOR
KETAMINE HYDROCHLORIDE,CHEMBL1714,CHEMBL2094124,NEGATIVE ALLOSTERIC MODULATOR
CEFAMANDOLE NAFATE FREE BASE,CHEMBL1201218,,
SAPROPTERIN,CHEMBL1201774,,
ELETRIPTAN HYDROBROMIDE,CHEMBL1201003,CHEMBL1805,AGONIST
